iter, loss
1,1.050433246919087
2,0.9641499403544834
3,0.908246625491551
4,0.8804353715692248
5,0.8655835320268358
6,0.8567847570351191
7,0.8510908244337354
8,0.8471398339952741
9,0.8442427962166923
10,0.8420267627920424
11,0.8402732629435403
12,0.8388477327142443
13,0.8376632501397814
14,0.8366613910879408
15,0.8358012318611145
16,0.8350534747328077
17,0.834395945923669
18,0.8338121720722743
19,0.8332898930140904
20,0.8328191224166325
21,0.8323925081321172
22,0.8320036622456142
23,0.8316474539893014
24,0.8313197755813598
25,0.8310170229843684
26,0.8307364535331726
27,0.8304755284105029
28,0.8302320809023721
29,0.8300042908532279
30,0.8297906489031656
31,0.8295896574429104
32,0.8294001945427486
33,0.8292211965152195
34,0.8290519000802721
35,0.8288913544586727
36,0.8287388910566057
37,0.828593853201185
38,0.8284556944029672
39,0.8283238589763642
40,0.8281979249204908
41,0.8280774201665606
42,0.8279619858946119
43,0.8278512746947152
44,0.8277449609552111
45,0.8276427338804517
46,0.8275443417685372
47,0.8274494934082032
48,0.8273580535820553
49,0.8272697264807565
50,0.8271844564165388
51,0.8271019531999315
52,0.8270221068177904
53,0.8269447253431592
54,0.8268697369098663
55,0.8267970292908805
56,0.8267264108998434
57,0.8266578226430076
58,0.8265911204474313
59,0.8265261837414333
60,0.8264629541124616
61,0.8264013162681034
62,0.8263411816528865
63,0.8262825214862823
64,0.8262252467019218
65,0.8261692730018071
66,0.8261145899977003
67,0.8260611207144601
68,0.8260087605885097
69,0.8259574435438428
70,0.8259071624279022
71,0.8258578859056745
72,0.825809542621885
73,0.825762084041323
74,0.8257154818943568
75,0.825669742822647
76,0.8256247581754412
77,0.8255805378300803
78,0.8255370477267674
79,0.8254942306450435
80,0.825452070747103
81,0.8254105240958077
82,0.8253695842197963
83,0.8253291828291757
84,0.8252893311636789
85,0.8252500029972621
86,0.8252111514977046
87,0.8251727572509221
88,0.8251348013537271
89,0.8250972701822008
90,0.8250601601600647
91,0.8250234537465232
92,0.8249871671199799
93,0.824951240505491
94,0.824915656191962
95,0.8248803743294307
96,0.8248454151834761
97,0.8248107727936336
98,0.8247763911315373
99,0.8247422916548592
100,0.82470841220447
